index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
79	Self	S200116	0.6666666666666666	2	1	2	1	0.1	1433.3333362	1433.3333362	2216.6666711000003	1783.3333369	Minor	Wrong_doings	9	You have let a homeless man into your house	C1_33	0.5	Easy	I2_3	21	Africa is the continent with the least rainfall	0.833333333333333	No	RIGHT	870.9908000000155	LEFT	232.87099999998875	LEFT	1943.90199999998	RIGHT	1152.2317999999814	9.9	0.1	Probable_Lie	RIGHT	RIGHT	2	740.4551000000197	0	2020-01-16 11:25:12.293854
110	Computer	S200116	0.5	2	1	2	1	0.7	1066.6666688	1433.3333362	2350.0000047	1500.000003	Major	Good_deeds	20	You have cursed at your loved ones	C2_56	0.7	Easy	I1_58	39	Christmas Day is in March	0.0	Yes	LEFT	900.1848999999993	RIGHT	225.50229999995963	LEFT	1052.360100000044	LEFT	1278.9842999999903	9.9	0.7	Probable_Truth	RIGHT	LEFT	2	920.8193126572844	1	2020-01-16 11:25:35.589548
67	Self	S200116	0.6666666666666666	1	2	1	2	0.1	1066.6666688	1150.0000023	1783.3333369	1933.3333372	Minor	Good_deeds	29	You have started a hotline for victims of bully	C2_8	1.0	Easy	I2_13	8	Kangaroos live in Africa	0.166666666666667	Yes	RIGHT	16.19460000000572	RIGHT	417.8458999999748	LEFT	1526.722800000016	LEFT	1971.534200000008	10.0	0.1	Probable_Truth	RIGHT	RIGHT	6	641.941700000018	2	2020-01-16 11:25:58.670552
65	Self	S200116	0.6666666666666666	1	2	1	2	0.4	1150.0000023	1433.3333362	2216.6666711000003	1783.3333369	Major	Good_deeds	33	You have given way to the handicapped	C2_33	0.0	Easy	I2_8	37	Polish is 20th most spoken language in the World	0.888888888888889	No	RIGHT	240.51419999995005	RIGHT	495.12270000002445	LEFT	1448.4213999999724	RIGHT	1097.2546999999508	10.4	0.4	Probable_Truth	LEFT	LEFT	2	647.0850000000041	3	2020-01-16 11:26:21.758359
46	Self	S200116	0.8333333333333334	2	1	2	1	0.8	1150.0000023	1000.000002	1650.0000033	1933.3333372	Major	Wrong_doings	38	You have started an NGO using your savings	C2_28	0.0	Easy	I2_59	59	February has 30 days	0.0	Yes	RIGHT	983.3284000000048	LEFT	239.75469999999177	LEFT	1100.9061999999972	RIGHT	1206.6667999999936	9.6	0.8	Probable_Lie	RIGHT	RIGHT	1	484.7035999999889	4	2020-01-16 11:26:44.078568
115	Computer	S200116	0.6666666666666666	1	2	1	2	0.6	1283.3333359	1350.0000027	1783.3333369	1650.0000033	Major	Wrong_doings	27	You have signed up as a bone marrow donor	C1_22	0.0	Hard	I1_40	14	There is typically 0.6 grams of mercury in glass thermometer	0.0	No	LEFT	72.33519999999771	LEFT	622.9109000000221	LEFT	1559.5107000000326	LEFT	1678.2777999999894	9.6	0.6	Probable_Lie	LEFT	LEFT	5	512.0912312943864	5	2020-01-16 11:27:07.165869
142	Computer	S200116	0.8333333333333334	2	1	2	1	0.7	1500.000003	1433.3333362	2500.000005	2500.000005	Major	Wrong_doings	38	You have started an NGO using your savings	C2_28	0.0	Easy	I2_59	59	February has 30 days	0.0	Yes	LEFT	759.395599999948	RIGHT	8.03880000000845	LEFT	795.486799999992	RIGHT	1278.9475000000152	9.6	0.7	Probable_Truth	LEFT	LEFT	1	658.849580827843	6	2020-01-16 11:27:31.165538
112	Computer	S200116	0.6666666666666666	1	2	1	2	0.1	1150.0000023	1000.000002	2350.0000047	2350.0000047	Minor	Good_deeds	6	You have intentionally let others cut in line	C2_54	0.85	Hard	I2_50	40	Marijuana is legal in Singapore	0.833333333333333	Yes	LEFT	80.60790000001816	LEFT	891.0032999999657	LEFT	1479.7995999999785	RIGHT	1738.404800000012	9.6	0.1	Probable_Lie	RIGHT	LEFT	3	766.0780735478176	7	2020-01-16 11:27:55.541589
9	Self	S200116	0.5	2	1	1	2	0.1	1000.000002	1500.000003	2500.000005	2216.6666711000003	Major	Good_deeds	16	You have coveted things that belong to others	C1_43	0.7	Hard	I1_9	26	Statute of Liberty is in New York	0.888888888888889	No	RIGHT	788.5899000000336	LEFT	232.77980000000295	RIGHT	1062.721099999976	LEFT	1722.2690000000966	9.5	0.1	Probable_Lie	RIGHT	RIGHT	3	908.6741999999504	8	2020-01-16 11:28:20.046539
93	Self	S200116	0.8333333333333334	2	1	2	1	0.7	1283.3333359	1350.0000027	2350.0000047	1650.0000033	Major	Good_deeds	24	You have queued to enter the MRT train	C2_27	0.9	Hard	I2_40	47	The Amazon forest covers an area of 1 billion acres	0.944444444444444	Yes	RIGHT	602.7976000000308	LEFT	231.5024000000676	LEFT	1870.853000000011	RIGHT	1144.1760000000158	8.8	0.7	Probable_Lie	RIGHT	RIGHT	1	589.5371000000296	9	2020-01-16 11:28:43.694370
35	Self	S200116	0.8333333333333334	1	2	1	2	0.8	1066.6666688	1433.3333362	1500.000003	2500.000005	Minor	Good_deeds	20	You have engaged in drink-driving	C1_49	0.05	Easy	I1_28	60	It takes 112 years to build the Pisa Tower	0.0	No	RIGHT	239.46030000001883	RIGHT	436.7268999999396	RIGHT	1367.3455000000558	LEFT	1146.4989999999489	9.6	0.8	Probable_Lie	LEFT	LEFT	2	679.7619999999824	10	2020-01-16 11:29:06.645721
122	Computer	S200116	0.6666666666666666	2	1	1	2	0.3	1000.000002	1066.6666688	2350.0000047	2500.000005	Major	Good_deeds	35	You have held the elevator doors for others	C1_17	0.7	Hard	I1_46	30	Penguin can fly with their wings	0.0555555555555556	No	LEFT	475.3864000000476	RIGHT	912.4239000000216	LEFT	999.3654999999536	RIGHT	1155.8459999999968	9.6	0.3	Probable_Truth	RIGHT	RIGHT	3	642.4409265405949	11	2020-01-16 11:29:30.325657
18	Self	S200116	0.6666666666666666	1	2	1	2	0.5	1150.0000023	1283.3333359	1933.3333372	2350.0000047	Major	Good_deeds	34	You have borrowed things and never returned	C1_39	0.8	Easy	I2_27	24	A caterpillar has more muscle than a human	0.722222222222222	No	RIGHT	199.1153000000168	RIGHT	386.0039999999572	RIGHT	1919.555599999967	LEFT	1482.39250000006	10.1	0.5	Probable_Truth	LEFT	LEFT	1	658.6569999999483	12	2020-01-16 11:29:54.261537
103	Computer	S200116	0.5	1	2	2	1	0.4	1216.6666691	1283.3333359	1783.3333369	2216.6666711000003	Minor	Wrong_doings	38	You have sheltered others from disasters	C2_24	0.05	Hard	I1_31	31	There are 6 million animal species on Earth	0.0	Yes	LEFT	215.67479999998795	RIGHT	475.96950000001925	LEFT	2088.742300000036	RIGHT	1103.843999999981	10.1	0.4	Probable_Truth	RIGHT	LEFT	1	814.3373819051749	13	2020-01-16 11:30:18.029413
53	Self	S200116	0.5	1	2	2	1	0.6	1216.6666691	1000.000002	1650.0000033	1650.0000033	Major	Wrong_doings	37	You have taken months off to volunteer	C2_34	0.55	Easy	I2_25	48	Beer is an alcoholic drink	1.0	No	RIGHT	224.17619999998809	RIGHT	743.0190999999695	RIGHT	1110.727599999905	RIGHT	1351.714500000071	10.7	0.6	Probable_Truth	LEFT	RIGHT	5	1211.5529000000151	14	2020-01-16 11:30:40.764862
104	Computer	S200116	0.5	2	1	1	2	0.6	1150.0000023	1000.000002	2500.000005	2066.6666708	Minor	Wrong_doings	16	You have offered a listening ear to a friend	C1_6	0.0	Easy	I2_12	9	It takes 500 days to travel from Earth to Mars	0.0	No	LEFT	525.6046999999171	RIGHT	240.34340000002885	RIGHT	1519.408999999996	RIGHT	1100.6208000000015	10.7	0.6	Probable_Truth	LEFT	RIGHT	4	981.516634975768	15	2020-01-16 11:31:04.421614
