index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
101	Computer	S200225	0.5	1	2	2	1	0.6	1216.666669	1283.333336	2216.666671	1650.000003	Major	Wrong_doings	57	You have done something against your values	C2_13	0.9	Easy	I2_42	42	"Statue of Liberty is 151 feet tall"	0.888888889	No	LEFT	889.7127	LEFT	608.9139	RIGHT	3007.2953	LEFT	2231.435	10.0	0.6	Probable_Lie	LEFT	RIGHT	1	547.9831819	0	46:14.2
45	Self	S200225	0.833333333	2	1	2	1	0.3	1433.333336	1350.000003	1933.333337	2216.666671	Minor	Good_deeds	48	You have drunk alcohol when you were underage	C2_6	0.45	Hard	I1_27	48	There are 10 continents in the World	0.111111111	No	RIGHT	599.335	RIGHT	540.0212	RIGHT	2439.0437	LEFT	1927.9296	10.3	0.3	Probable_Truth	RIGHT	RIGHT	5	1009.9197	1	46:40.2
19	Self	S200225	0.666666667	1	2	1	2	0.6	1000.000002	1283.333336	2216.666671	2350.000005	Major	Good_deeds	29	You have stopped using plastics completely	C1_49	0.8	Easy	I2_34	57	Marijuana is legal in Singapore	1.0	Yes	RIGHT	567.6847	RIGHT	358.9957	RIGHT	2328.2542	RIGHT	2890.6846	10.9	0.6	Probable_Truth	RIGHT	RIGHT	3	1076.1916	2	47:06.9
119	Computer	S200225	0.666666667	1	2	2	1	0.7	1283.333336	1283.333336	2500.000005	2350.000005	Major	Wrong_doings	49	You have organized a violent protest	C1_6	0.7	Hard	I1_57	34	Christmas Day is in March	0.0	No	LEFT	778.2344	LEFT	568.0497	LEFT	1531.1969	LEFT	1264.5758	10.9	0.7	Probable_Lie	RIGHT	RIGHT	1	838.7664438	3	47:31.8
39	Self	S200225	0.833333333	1	2	2	1	0.5	1150.000002	1066.666669	2216.666671	2216.666671	Major	Wrong_doings	37	You have deceived a loved one	C1_37	0.0	Easy	I2_12	45	There are 6000 spoken languages in the World	0.888888889	Yes	RIGHT	479.6324	RIGHT	303.3865	RIGHT	2190.4408	LEFT	1768.4487	11.4	0.5	Probable_Lie	LEFT	LEFT	2	879.9068	4	47:56.7
92	Self	S200225	0.833333333	2	1	2	1	0.1	1066.666669	1500.000003	2216.666671	2066.666671	Minor	Good_deeds	11	You have been donating all your excess food to a food bank	C1_11	0.15	Hard	I1_14	40	Chickens lay eggs	0.666666667	No	RIGHT	496.1162	RIGHT	982.9286	RIGHT	1246.6916	RIGHT	3022.7337	11.5	0.1	Probable_Lie	LEFT	LEFT	4	728.7509	5	48:22.6
120	Computer	S200225	0.666666667	2	1	1	2	0.1	1500.000003	1283.333336	2066.666671	1933.333337	Minor	Good_deeds	14	You have rescued others from a catastrophe	C1_43	0.5	Easy	I2_48	36	There are 30 hours in a day	0.0	No	LEFT	567.5847	LEFT	875.3493	LEFT	1272.2922	RIGHT	2077.7867	11.5	0.1	Probable_Lie	LEFT	RIGHT	1	861.4277015	6	48:47.6
95	Self	S200225	0.833333333	2	1	2	1	0.8	1216.666669	1216.666669	2350.000005	1783.333337	Major	Wrong_doings	39	You have volunteered every week for many years	C1_39	0.85	Easy	I2_25	6	Red is a color	0.611111111	Yes	RIGHT	472.5911	RIGHT	729.743	RIGHT	1019.2176	RIGHT	2112.3067	12.3	0.8	Probable_Truth	RIGHT	RIGHT	3	718.1424	7	49:11.8
5	Self	S200225	0.5	1	2	2	1	0.6	1150.000002	1216.666669	2066.666671	1933.333337	Major	Wrong_doings	57	You have done something against your values	C2_13	0.9	Easy	I2_42	42	"Statue of Liberty is 151 feet tall"	0.888888889	No	RIGHT	765.8043	RIGHT	304.8071	RIGHT	2372.9344	LEFT	1375.6206	12.9	0.6	Probable_Truth	LEFT	RIGHT	6	1607.7973	8	49:37.1
128	Computer	S200225	0.833333333	1	2	1	2	0.4	1500.000003	1150.000002	2216.666671	2216.666671	Major	Wrong_doings	59	You have returned your trays in food courts	C2_59	0.85	Easy	I1_12	12	Cleopatra was born in Greece	0.0	No	RIGHT	1852.6478	LEFT	879.6388	LEFT	2942.8237	RIGHT	1485.2404	12.9	0.4	Probable_Lie	LEFT	LEFT	4	896.1479208	9	50:04.9
