index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
96	Computer	S210204	0.5	1	2	1	2	0.2	1000.000002	1066.6666688	2350.0000047	1933.3333372	Major	Good_deeds	25	You have followed instructions	C2_11	0.2	Hard	I1_1	39	Some owl species hunt fish	0.0	Yes	RIGHT	982.046700000069	LEFT	672.7263000000221	RIGHT	1913.6455000000296	RIGHT	3792.313400000012	10.0	0.2	Probable_Truth	RIGHT	RIGHT	4	577.0499635548526	0	2021-02-04 14:21:01.097992
141	Computer	S210204	0.8333333333333334	2	1	2	1	0.8	1216.6666691	1350.0000027	2500.000005	1783.3333369	Major	Wrong_doings	14	You have faked an illness	C1_5	0.0	Hard	I1_41	32	The human's inner ear is larger than a pencil eraser	0.0	Yes	RIGHT	769.075799999996	LEFT	819.4557000000486	LEFT	1576.5473999999813	RIGHT	4256.2827000000425	10.0	0.8	Probable_Truth	RIGHT	RIGHT	4	673.8150093034768	1	2021-02-04 14:21:28.619359
128	Computer	S210204	0.8333333333333334	1	2	1	2	0.6	1066.6666688	1150.0000023	2500.000005	1933.3333372	Major	Good_deeds	57	You have cursed at your loved ones	C1_49	1.0	Hard	I1_25	42	There is typically 0.6 grams of mercury in glass thermometer	0.764705882352941	Yes	LEFT	1021.7010000000072	LEFT	448.8352999999279	RIGHT	2733.44110000005	RIGHT	4662.9184999999325	10.0	0.6	Probable_Lie	LEFT	RIGHT	1	627.4317934813745	2	2021-02-04 14:21:57.337597
86	Self	S210204	0.8333333333333334	1	2	2	1	0.6	1350.0000027	1066.6666688	1650.0000033	2350.0000047	Major	Wrong_doings	9	You have said thank you when you have received help	C2_33	1.0	Hard	I2_60	60	Slavery was abolished in Cuba in 1886	0.722222222222222	No	RIGHT	655.6621999999379	RIGHT	656.8767999999636	RIGHT	1760.168900000053	LEFT	4060.8700999998746	10.6	0.6	Probable_Truth	LEFT	LEFT	1	767.1976000000313	3	2021-02-04 14:22:24.225940
136	Computer	S210204	0.8333333333333334	2	1	1	2	0.7	1350.0000027	1150.0000023	1500.000003	2066.6666708	Minor	Good_deeds	46	You have coveted things that belong to others	C2_43	0.45	Hard	I1_2	41	A triangle has three sides	0.0	Yes	LEFT	840.2068000000327	LEFT	793.0526999998619	LEFT	2653.973200000109	RIGHT	1647.4752000001445	10.6	0.7	Probable_Lie	LEFT	RIGHT	1	974.7063959369848	4	2021-02-04 14:22:49.769453
58	Self	S210204	0.5	2	1	1	2	0.5	1350.0000027	1150.0000023	2216.6666711000003	1500.000003	Minor	Good_deeds	30	You have lied to your parents	C2_52	1.0	Hard	I2_52	52	Brazil is in South America	0.0	Yes	RIGHT	583.6982000000717	RIGHT	551.6434999999547	RIGHT	1366.3872999998148	RIGHT	1560.653000000002	11.1	0.5	Probable_Truth	LEFT	RIGHT	6	2429.7846999998	5	2021-02-04 14:23:15.050065
122	Computer	S210204	0.6666666666666666	2	1	1	2	0.5	1150.0000023	1000.000002	2066.6666708	1500.000003	Major	Wrong_doings	37	You have bought cigarettes for a minor	C2_37	0.0	Hard	I1_54	46	Singapore ranked 8th in World's smallest countries	0.0	Yes	LEFT	440.5091999999513	LEFT	768.8144000001103	LEFT	1798.4913999998753	RIGHT	2551.9484999999804	11.1	0.5	Probable_Lie	RIGHT	LEFT	6	846.4311086158186	6	2021-02-04 14:23:39.747226
45	Self	S210204	0.8333333333333334	2	1	2	1	0.5	1150.0000023	1500.000003	1783.3333369	1500.000003	Major	Wrong_doings	14	You have faked an illness	C1_5	0.0	Hard	I1_41	32	The human's inner ear is larger than a pencil eraser	0.0	Yes	RIGHT	552.8414999998859	RIGHT	690.3047000000697	LEFT	1640.4287000000295	RIGHT	3587.4421000000893	11.6	0.5	Probable_Truth	RIGHT	RIGHT	4	785.8900999999605	7	2021-02-04 14:24:05.514181
133	Computer	S210204	0.8333333333333334	1	2	2	1	0.1	1000.000002	1000.000002	2066.6666708	2216.6666711000003	Minor	Wrong_doings	29	You have provided shelter for stray animals	C2_39	0.95	Hard	I1_42	47	It sometimes snows in Singapore	0.833333333333333	Yes	LEFT	729.5759000000999	LEFT	326.3208000000759	RIGHT	2157.3737999999594	LEFT	2241.490499999827	11.6	0.1	Probable_Lie	RIGHT	LEFT	5	816.7298721242248	8	2021-02-04 14:24:30.641706
135	Computer	S210204	0.8333333333333334	1	2	2	1	0.4	1216.6666691	1066.6666688	2216.6666711000003	1783.3333369	Minor	Wrong_doings	39	You have organized a violent protest	C1_13	0.7	Hard	I2_16	44	The sun rises at night	0.0555555555555556	No	LEFT	780.8348999999453	LEFT	608.9286000001266	LEFT	1527.4148999999395	LEFT	1665.8941999999115	11.6	0.4	Probable_Lie	LEFT	LEFT	6	936.9456148932416	9	2021-02-04 14:24:55.010387
