index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
83	Self	S210217	0.8333333333333334	1	2	1	2	0.2	1066.6666688	1433.3333362	1933.3333372	2066.6666708	Major	Good_deeds	12	You have assisted in a crime	C1_34	0.95	Easy	I1_42	42	Septicemia is a lung infection condition	0.666666666666667	No	RIGHT	757.6113000000078	RIGHT	543.655900000033	LEFT	1604.497800000047	RIGHT	2287.387599999988	10.2	0.2	Probable_Truth	RIGHT	RIGHT	2	1011.0493000000248	0	2021-02-17 14:36:02.038610
54	Self	S210217	0.5	1	2	2	1	0.5	1500.000003	1500.000003	2350.0000047	1933.3333372	Minor	Wrong_doings	43	You have been convicted in court	C1_58	1.0	Hard	I2_35	35	There are 9 rings in the Olympic flag	0.0	No	LEFT	1107.3628999999985	RIGHT	648.3412000000044	LEFT	1320.1873000000433	LEFT	2053.060600000037	9.7	0.5	Probable_Lie	LEFT	LEFT	4	1376.3978000000066	1	2021-02-17 14:36:28.398012
91	Self	S210217	0.8333333333333334	2	1	1	2	0.5	1433.3333362	1350.0000027	2066.6666708	2500.000005	Major	Good_deeds	17	You have watched a pirated movie	C2_50	0.45	Hard	I2_11	43	Feijoa is a type of grape	0.0	No	RIGHT	544.5548000000144	RIGHT	693.561700000032	LEFT	1861.1852999999885	LEFT	3983.7450999999646	10.2	0.5	Probable_Truth	RIGHT	RIGHT	4	834.6817000000328	2	2021-02-17 14:36:56.238970
25	Self	S210217	0.6666666666666666	2	1	1	2	0.7	1433.3333362	1433.3333362	2216.6666711000003	2500.000005	Minor	Good_deeds	53	You have helped a friend in need	C2_34	1.0	Hard	I2_52	52	South East Asia is currently free from polio	0.777777777777778	No	LEFT	616.6688000000136	RIGHT	689.8798000000284	RIGHT	1613.5565999999812	RIGHT	3985.208199999988	9.5	0.7	Probable_Lie	LEFT	LEFT	6	783.5676999999919	3	2021-02-17 14:37:24.080319
23	Self	S210217	0.6666666666666666	1	2	2	1	0.5	1433.3333362	1000.000002	2500.000005	1933.3333372	Major	Wrong_doings	16	You have risked your life to save another person's life	C2_54	0.95	Hard	I1_37	6	Fishes can swim in water	0.666666666666667	No	RIGHT	667.5731000000269	RIGHT	432.8397999999538	RIGHT	2072.158800000011	RIGHT	1941.276500000015	10.0	0.5	Probable_Truth	LEFT	LEFT	2	1053.050799999994	4	2021-02-17 14:37:49.686396
90	Self	S210217	0.8333333333333334	2	1	1	2	0.1	1500.000003	1283.3333359	2216.6666711000003	1933.3333372	Minor	Good_deeds	42	You have engaged in arson	C1_17	0.0	Hard	I1_52	45	It sometimes snows in Singapore	0.666666666666667	Yes	RIGHT	439.9713000000247	RIGHT	542.6578999999947	LEFT	1756.1527999999953	LEFT	1383.3821000000055	10.1	0.1	Probable_Truth	LEFT	LEFT	1	809.761299999991	5	2021-02-17 14:38:14.126684
40	Self	S210217	0.8333333333333334	2	1	1	2	0.3	1283.3333359	1283.3333359	1783.3333369	2216.6666711000003	Minor	Wrong_doings	16	You have started an NGO using your savings	C2_14	0.85	Easy	I1_38	58	A square has 3 corners	0.833333333333333	Yes	LEFT	558.0350999999837	RIGHT	830.5483000000322	RIGHT	3524.431400000026	LEFT	1398.8718000000515	9.8	0.3	Probable_Lie	RIGHT	RIGHT	1	946.3951999999836	6	2021-02-17 14:38:40.534988
26	Self	S210217	0.6666666666666666	2	1	1	2	0.4	1066.6666688	1216.6666691	2350.0000047	2350.0000047	Minor	Wrong_doings	34	You have donated a pay cheque to charity	C2_3	0.0	Easy	I1_28	28	Algeria is Africa's second largest country	0.666666666666667	Yes	LEFT	631.7968999999266	RIGHT	811.6314999999759	RIGHT	2083.0982999999605	RIGHT	4109.132100000011	9.4	0.4	Probable_Lie	RIGHT	RIGHT	1	896.9183999998904	7	2021-02-17 14:39:08.629263
133	Computer	S210217	0.8333333333333334	1	2	2	1	0.2	1150.0000023	1216.6666691	2500.000005	2350.0000047	Minor	Good_deeds	38	You have sold illegal drugs	C1_39	0.0	Hard	I1_26	26	Teddy Roosevelt was the youngest US President	0.944444444444444	No	RIGHT	927.1540000000869	LEFT	568.3665000000246	LEFT	2097.395399999982	RIGHT	2395.637999999962	9.4	0.2	Probable_Truth	LEFT	LEFT	1	528.1252129581104	8	2021-02-17 14:39:34.934940
11	Self	S210217	0.5	2	1	1	2	0.4	1150.0000023	1433.3333362	1650.0000033	1650.0000033	Major	Good_deeds	17	You have claimed doing things that you never did	C2_48	0.05	Hard	I1_31	2	A caterpillar has more muscle than a human	0.944444444444444	No	RIGHT	439.0920000000733	RIGHT	905.4253000000472	Time_Max_Exceeded	5000.217500000076	RIGHT	2556.15899999998	9.8	0.4	Probable_Truth	LEFT	RIGHT	5	1983.3405999999056	9	2021-02-17 14:40:04.287131
0	Self	S210217	0.5	1	2	1	2	0.1	1283.3333359	1150.0000023	1933.3333372	2500.000005	Major	Wrong_doings	38	You have extorted money from anyone	C2_6	0.5	Hard	I2_24	12	Cheese is an Asian staple	0.0555555555555556	Yes	RIGHT	566.0811999999851	RIGHT	542.3829999999725	LEFT	1105.3426000000854	LEFT	2149.856600000021	9.9	0.1	Probable_Truth	LEFT	LEFT	1	1337.9806000000372	10	2021-02-17 14:40:29.454006
117	Computer	S210217	0.6666666666666666	1	2	2	1	0.7	1500.000003	1150.0000023	1650.0000033	2500.000005	Minor	Wrong_doings	7	You have started a movement to support a cause	C1_36	0.0	Easy	I1_23	37	Earth's atmosphere extends up to 10,000km into space	0.0	Yes	LEFT	787.4296999999615	LEFT	617.4306999999999	RIGHT	2568.2358999999906	LEFT	2853.923200000054	9.9	0.7	Probable_Lie	RIGHT	LEFT	6	512.9899289532754	11	2021-02-17 14:40:56.166112
107	Computer	S210217	0.5	2	1	1	2	0.4	1066.6666688	1000.000002	2350.0000047	2216.6666711000003	Major	Good_deeds	17	You have claimed doing things that you never did	C2_48	0.05	Hard	I1_31	2	A caterpillar has more muscle than a human	0.944444444444444	No	RIGHT	439.5458999999846	LEFT	776.600300000041	LEFT	3751.1049999999386	RIGHT	1432.080400000018	9.9	0.4	Probable_Truth	RIGHT	LEFT	3	697.0204263601042	12	2021-02-17 14:41:22.470928
16	Self	S210217	0.6666666666666666	1	2	1	2	0.8	1066.6666688	1066.6666688	1650.0000033	2350.0000047	Minor	Wrong_doings	27	You have cheated on a national exam	C1_16	0.05	Hard	I2_16	44	Africa is the continent with the least rainfall	0.166666666666667	No	RIGHT	592.3532000000478	RIGHT	640.8647000000656	LEFT	1661.3062000000127	RIGHT	2416.3769000000457	10.7	0.8	Probable_Lie	LEFT	LEFT	4	1089.2661999999973	13	2021-02-17 14:41:47.573632
22	Self	S210217	0.6666666666666666	1	2	2	1	0.6	1350.0000027	1433.3333362	1933.3333372	2500.000005	Minor	Good_deeds	36	You have given up your seat in the MRT	C2_27	0.0	Hard	I2_44	23	It takes 112 years to build the Pisa Tower	0.0	Yes	LEFT	939.2979000000424	RIGHT	512.8705999999283	RIGHT	1559.2034000000012	RIGHT	1606.851900000038	10.1	0.6	Probable_Lie	RIGHT	RIGHT	1	865.7553000000462	14	2021-02-17 14:42:12.846502
104	Computer	S210217	0.5	2	1	1	2	0.2	1350.0000027	1433.3333362	1783.3333369	1933.3333372	Major	Good_deeds	5	You have sorted your trash into recycling bin	C2_17	1.0	Hard	I1_9	27	The sun rises at night	0.722222222222222	Yes	LEFT	504.3525999999474	LEFT	860.3478999999652	RIGHT	3445.2355000000807	LEFT	1503.9278000000422	10.1	0.2	Probable_Lie	RIGHT	LEFT	5	588.6291988720919	15	2021-02-17 14:42:38.814552
127	Computer	S210217	0.6666666666666666	2	1	2	1	0.7	1150.0000023	1150.0000023	2500.000005	1500.000003	Minor	Good_deeds	3	You have deceived a loved one	C1_22	0.0	Easy	I2_22	50	China is a part of Asia	0.833333333333333	No	LEFT	599.8550000000478	LEFT	681.3188999999511	LEFT	1319.6355999999696	RIGHT	1204.7263000000612	10.1	0.7	Probable_Lie	RIGHT	LEFT	3	823.7708599935024	16	2021-02-17 14:43:02.310421
68	Self	S210217	0.6666666666666666	1	2	2	1	0.5	1216.6666691	1350.0000027	1933.3333372	2066.6666708	Minor	Good_deeds	45	You have returned your trays in food courts	C1_6	0.05	Easy	I1_29	41	The hyoid bone is the only jointless bone	0.777777777777778	No	LEFT	853.425100000095	RIGHT	479.8442999999679	RIGHT	1423.8553000000138	RIGHT	3112.105799999995	9.6	0.5	Probable_Lie	RIGHT	LEFT	3	1334.5761999999013	17	2021-02-17 14:43:28.654450
