index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
128	Computer	S210215	0.8333333333333334	1	2	1	2	0.2	1433.3333362	1000.000002	2066.6666708	2350.0000047	Minor	Wrong_doings	34	You have been sued	C2_9	1.0	Hard	I1_11	8	A square has 3 corners	1.0	No	RIGHT	841.1081999997805	LEFT	600.5107999999382	LEFT	1293.5241999998652	LEFT	1048.315300000013	10.0	0.2	Probable_Truth	RIGHT	RIGHT	3	685.0660383359893	0	2021-02-15 14:20:15.499858
84	Self	S210215	0.8333333333333334	1	2	2	1	0.6	1500.000003	1500.000003	2500.000005	2350.0000047	Minor	Wrong_doings	27	You have organized a violent protest	C1_29	1.0	Easy	I2_21	58	The first Grammy awards was held in 1959	0.0	No	RIGHT	477.75849999993625	RIGHT	335.3761000000759	LEFT	1214.8042999999689	LEFT	1485.2604000000156	10.6	0.6	Probable_Truth	RIGHT	RIGHT	3	492.8588000000218	1	2021-02-15 14:20:39.932441
23	Self	S210215	0.6666666666666666	1	2	2	1	0.7	1283.3333359	1150.0000023	2066.6666708	2066.6666708	Major	Wrong_doings	14	You have assisted in a crime	C1_47	0.95	Hard	I2_12	29	Christmas Day is in March	0.777777777777778	No	RIGHT	295.0760999999602	RIGHT	295.6848000001173	LEFT	832.6225999999224	LEFT	1216.5030999999544	11.3	0.7	Probable_Truth	LEFT	LEFT	1	772.6588999998967	2	2021-02-15 14:21:02.483338
121	Computer	S210215	0.6666666666666666	2	1	1	2	0.6	1216.6666691	1350.0000027	1500.000003	2350.0000047	Minor	Wrong_doings	18	You have said thank you when you have received help	C1_44	0.05	Hard	I2_8	45	Feijoa is a type of grape	0.764705882352941	No	LEFT	381.7546000000221	LEFT	1026.7705999999637	RIGHT	1495.455100000072	LEFT	1886.7446000001564	11.3	0.6	Probable_Lie	LEFT	LEFT	6	916.744092903284	3	2021-02-15 14:21:27.188243
97	Computer	S210215	0.5	1	2	1	2	0.2	1433.3333362	1350.0000027	1650.0000033	1933.3333372	Major	Wrong_doings	60	You have volunteered for a disaster-related humanitarian mission	C1_58	0.7	Easy	I2_46	9	Bears have the biggest eyes among mammals	0.833333333333333	No	RIGHT	421.88800000008086	LEFT	367.9122000000916	RIGHT	2077.076600000055	LEFT	2486.340600000176	11.3	0.2	Probable_Truth	RIGHT	RIGHT	6	779.6302649886877	4	2021-02-15 14:21:52.267506
78	Self	S210215	0.6666666666666666	2	1	2	1	0.8	1283.3333359	1066.6666688	2216.6666711000003	1650.0000033	Minor	Good_deeds	7	You have given up your seat in the MRT	C1_15	0.05	Easy	I2_48	25	Fibers in oranges can be used to make fabric	0.0	No	RIGHT	249.1367000000082	RIGHT	376.655000000028	RIGHT	918.9146000001074	LEFT	2582.1315999999115	12.1	0.8	Probable_Truth	RIGHT	RIGHT	4	812.4066000000312	5	2021-02-15 14:22:15.996686
127	Computer	S210215	0.6666666666666666	2	1	2	1	0.7	1066.6666688	1216.6666691	1783.3333369	1783.3333369	Minor	Good_deeds	1	You have provided shelter for stray animals	C1_27	0.95	Hard	I2_45	6	Summer is hotter than winter	0.0	No	RIGHT	511.9173000000501	RIGHT	492.9208999999446	RIGHT	1928.1173000001672	RIGHT	1489.789700000074	12.8	0.7	Probable_Truth	RIGHT	LEFT	2	912.3520250588448	6	2021-02-15 14:22:39.756969
5	Self	S210215	0.5	1	2	2	1	0.1	1350.0000027	1066.6666688	2216.6666711000003	2216.6666711000003	Major	Wrong_doings	1	You have used heroin	C1_1	1.0	Easy	I1_35	59	The sun rises at night	0.0	No	RIGHT	374.8211000001902	RIGHT	254.13069999990512	LEFT	992.1803999998248	LEFT	1263.2871999999224	12.9	0.1	Probable_Truth	LEFT	RIGHT	5	1214.3358999999236	7	2021-02-15 14:23:03.283476
17	Self	S210215	0.6666666666666666	1	2	1	2	0.6	1150.0000023	1283.3333359	1650.0000033	1783.3333369	Minor	Wrong_doings	48	You have lost everything just to help others	C2_48	0.65	Hard	I1_45	18	The Earth turns the closest to the sun in May	0.0	Yes	RIGHT	277.93880000012905	RIGHT	289.1075000000001	LEFT	2386.3208000000213	LEFT	2967.5993999999264	13.499999999999998	0.6	Probable_Truth	RIGHT	RIGHT	6	785.6211000000712	8	2021-02-15 14:23:28.427995
59	Self	S210215	0.5	2	1	1	2	0.7	1150.0000023	1500.000003	1783.3333369	1933.3333372	Minor	Good_deeds	40	You have let a homeless man into your house	C1_6	1.0	Hard	I1_60	13	There are 6 million animal species on Earth	0.0	Yes	LEFT	225.01919999990605	RIGHT	1904.4443999998748	LEFT	1326.510800000051	RIGHT	927.224600000045	12.8	0.7	Probable_Lie	RIGHT	RIGHT	2	885.4343999998946	9	2021-02-15 14:23:52.635998
