index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
68	Self	S200207	0.666666667	1	2	2	1	0.4	1216.666669	1150.000002	1783.333337	1783.333337	Major	Good_deeds	17	You have started an NGO using your savings	C1_17	1.0	Hard	I2_3	27	Mozambique is the world's poorest country	0.944444444	No	LEFT	1016.4475	LEFT	880.5505	LEFT	2393.4112	LEFT	2271.7539	10.0	0.4	Probable_Lie	RIGHT	RIGHT	1	767.6006	0	17:50.0
60	Self	S200207	0.5	2	1	2	1	0.1	1216.666669	1283.333336	1650.000003	1933.333337	Minor	Wrong_doings	23	You have a non-judgmental attitude towards everyone	C2_7	0.8	Hard	I1_23	6	The Amazon forest covers an area of 1 billion acres	0.0	No	LEFT	1160.3257	RIGHT	1902.8159	RIGHT	1667.8063	RIGHT	2080.1887	9.9	0.1	Probable_Lie	RIGHT	RIGHT	1	1490.0583	1	18:17.0
82	Self	S200207	0.833333333	1	2	1	2	0.1	1000.000002	1066.666669	1783.333337	1500.000003	Minor	Wrong_doings	11	You have donated a pay cheque to charity	C1_31	0.15	Easy	I1_32	46	Singapore ranked 8th in World's smallest countries	0.944444444	Yes	RIGHT	498.4281	RIGHT	567.455	LEFT	2208.4185	RIGHT	2030.3213	10.0	0.1	Probable_Truth	RIGHT	RIGHT	2	1244.2195	2	18:41.5
98	Computer	S200207	0.5	1	2	1	2	0.7	1150.000002	1350.000003	1783.333337	1933.333337	Minor	Wrong_doings	28	You have volunteered every week for many years	C2_38	0.05	Easy	I1_48	30	Carnivore refers to meat-eater	0.0	No	LEFT	842.1132	LEFT	529.0948	RIGHT	1808.5226	RIGHT	1933.5307	10.0	0.7	Probable_Lie	LEFT	LEFT	5	654.314057	3	19:06.0
133	Computer	S200207	0.833333333	1	2	2	1	0.2	1150.000002	1283.333336	2500.000005	1783.333337	Major	Wrong_doings	57	You have pretended to be busy to avoid a social situation	C2_56	0.45	Hard	I1_37	60	There are 6 million animal species on Earth	0.888888889	Yes	RIGHT	763.8606	LEFT	703.3895	RIGHT	2619.3727	LEFT	1951.6832	10.0	0.2	Probable_Truth	LEFT	LEFT	1	507.4715444	4	19:31.8
35	Self	S200207	0.833333333	1	2	1	2	0.1	1000.000002	1500.000003	2216.666671	2216.666671	Minor	Wrong_doings	48	You have lost everything just to help others	C2_18	0.9	Easy	I2_11	17	Astatine is the rarest element in the Earth's crust	0.055555556	No	RIGHT	471.8829	RIGHT	383.6348	LEFT	1646.7742	RIGHT	2217.5029	10.1	0.1	Probable_Truth	RIGHT	RIGHT	3	875.4208	5	19:56.9
62	Self	S200207	0.5	2	1	2	1	0.7	1433.333336	1150.000002	1783.333337	1650.000003	Major	Good_deeds	13	You have given directions to a lost tourist	C1_57	0.25	Easy	I2_6	23	Beef comes from cows	0.0	Yes	RIGHT	311.8696	RIGHT	569.4191	RIGHT	1633.3235	RIGHT	1407.0576	10.8	0.7	Probable_Lie	LEFT	RIGHT	3	930.8102	6	20:20.4
8	Self	S200207	0.5	2	1	1	2	0.6	1066.666669	1150.000002	1500.000003	1650.000003	Minor	Good_deeds	59	You have helped your parents when asked to	C1_27	0.05	Easy	I1_11	1	The hardest bone in human body is the jawbone	0.888888889	Yes	RIGHT	440.7828	RIGHT	534.3254	RIGHT	1592.0327	RIGHT	1560.3729	11.4	0.6	Probable_Lie	LEFT	RIGHT	3	785.2972	7	20:43.2
126	Computer	S200207	0.666666667	2	1	2	1	0.3	1433.333336	1350.000003	1650.000003	2350.000005	Minor	Wrong_doings	45	You have risked your life to save another person's life	C1_42	0.0	Easy	I1_26	26	Beer is an alcoholic drink	0.888888889	No	RIGHT	920.2048	LEFT	1047.5905	RIGHT	1131.3372	RIGHT	1750.5993	11.4	0.3	Probable_Truth	RIGHT	LEFT	2	604.041864	8	21:08.0
90	Self	S200207	0.833333333	2	1	1	2	0.6	1433.333336	1433.333336	1933.333337	2066.666671	Major	Wrong_doings	9	You have queued to enter the MRT train	C2_48	0.65	Easy	I2_48	51	Afghan Hound is the first cloned cat	0.777777778	No	RIGHT	273.4944	RIGHT	605.0447	RIGHT	2031.218	RIGHT	1133.8815	12.0	0.6	Probable_Truth	RIGHT	RIGHT	4	905.4278	9	21:32.4
