index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
69	Self	S210225	0.6666666666666666	1	2	2	1	0.6	1283.3333359	1000.000002	2500.000005	1933.3333372	Minor	Good_deeds	1	You have kept your promises	C1_53	0.85	Easy	I1_11	17	Singapore ranked 8th in World's smallest countries	0.611111111111111	Yes	RIGHT	541.0686999999825	RIGHT	512.4725000000012	LEFT	1965.994599999988	RIGHT	960.93860000002	10.6	0.6	Probable_Truth	RIGHT	RIGHT	6	903.9298000000144	0	2021-02-25 14:28:31.663399
116	Computer	S210225	0.6666666666666666	1	2	2	1	0.7	1066.6666688	1000.000002	2350.0000047	2066.6666708	Minor	Wrong_doings	54	You have intentionally let others cut in line	C1_27	0.0	Hard	I2_21	28	Earth's atmosphere extends up to 10,000km into space	0.0	Yes	LEFT	773.8530999999966	LEFT	511.7505999999708	RIGHT	2399.2642000000046	RIGHT	1990.65250000001	10.6	0.7	Probable_Lie	RIGHT	LEFT	4	987.5389079200588	1	2021-02-25 14:28:57.390521
111	Computer	S210225	0.5	2	1	2	1	0.4	1000.000002	1150.0000023	2500.000005	1783.3333369	Major	Wrong_doings	47	You have extorted money from anyone	C2_56	0.65	Easy	I2_53	33	The first Olympic Games was held in the 5th century B.C	0.0	Yes	LEFT	361.76160000002255	LEFT	660.4812000000493	RIGHT	1617.5219999999513	LEFT	1375.7750000000328	10.6	0.4	Probable_Lie	RIGHT	LEFT	5	736.7005394371919	2	2021-02-25 14:29:21.142344
80	Self	S210225	0.8333333333333334	1	2	1	2	0.7	1283.3333359	1150.0000023	1783.3333369	2500.000005	Major	Good_deeds	40	You have a non-judgmental attitude towards everyone	C2_40	0.05	Easy	I1_41	34	The sun rises at night	1.0	No	RIGHT	434.486800000002	RIGHT	432.4709999999641	LEFT	2568.821200000002	RIGHT	1950.179099999957	11.3	0.7	Probable_Truth	LEFT	LEFT	1	920.9417000000144	3	2021-02-25 14:29:46.736032
82	Self	S210225	0.8333333333333334	1	2	1	2	0.4	1433.3333362	1500.000003	1933.3333372	1650.0000033	Major	Wrong_doings	58	You have engaged in underage smoking	C1_30	0.7	Hard	I1_9	43	The Franco-Prussian War occurred in the 19th century	0.833333333333333	No	LEFT	572.51100000002	RIGHT	832.45119999998	RIGHT	2832.174100000032	LEFT	1753.7418000000002	10.9	0.4	Probable_Lie	RIGHT	RIGHT	1	780.0561000000243	4	2021-02-25 14:30:12.591862
52	Self	S210225	0.5	1	2	2	1	0.8	1216.6666691	1000.000002	2066.6666708	2066.6666708	Minor	Wrong_doings	37	You have done something against your values	C1_50	0.1	Hard	I1_12	12	It takes 500 days to travel from Earth to Mars	0.0	Yes	LEFT	620.5838999999855	RIGHT	321.20480000003226	RIGHT	1871.3482	LEFT	1495.2625999999896	10.099999999999998	0.8	Probable_Lie	RIGHT	LEFT	5	952.4983999999675	5	2021-02-25 14:30:36.775868
55	Self	S210225	0.5	1	2	2	1	0.7	1500.000003	1500.000003	2500.000005	2500.000005	Minor	Good_deeds	7	You have cheated on a national exam	C1_44	0.95	Hard	I1_54	54	Cernan was the second last man to walk on the Moon	0.722222222222222	No	RIGHT	530.9852000000319	RIGHT	311.6437999999562	LEFT	3317.75360000006	LEFT	1312.9449999998997	10.799999999999995	0.7	Probable_Truth	LEFT	RIGHT	4	897.6359000000116	6	2021-02-25 14:31:03.718356
30	Self	S210225	0.6666666666666666	2	1	2	1	0.2	1350.0000027	1000.000002	2350.0000047	2500.000005	Minor	Good_deeds	30	You have sheltered others from disasters	C1_29	0.95	Easy	I2_59	44	Red is a color	0.0	Yes	RIGHT	263.9638999999079	RIGHT	307.9837000000225	RIGHT	931.509300000016	RIGHT	1544.8763000000554	10.999999999999996	0.2	Probable_Truth	LEFT	LEFT	1	795.6907000000228	7	2021-02-25 14:31:27.334565
136	Computer	S210225	0.8333333333333334	2	1	1	2	0.7	1066.6666688	1150.0000023	2216.6666711000003	2066.6666708	Minor	Wrong_doings	12	You have said thank you when you have received help	C2_27	0.95	Easy	I2_18	45	Pyramid of Giza is 468 feet tall	1.0	No	LEFT	264.70449999999346	LEFT	723.5282999999981	RIGHT	2016.7697999999064	RIGHT	1592.2415999999655	10.999999999999996	0.7	Probable_Lie	RIGHT	LEFT	5	628.5771749401526	8	2021-02-25 14:31:51.630480
1	Self	S210225	0.5	1	2	1	2	0.4	1350.0000027	1283.3333359	1783.3333369	2216.6666711000003	Major	Wrong_doings	43	You have rescued others from a catastrophe	C2_43	1.0	Hard	I2_31	39	Summer is hotter than winter	0.833333333333333	No	RIGHT	369.4848000000093	RIGHT	536.6513999999825	RIGHT	1160.2208000000471	RIGHT	1199.8749000000544	11.399999999999997	0.4	Probable_Truth	LEFT	RIGHT	6	896.7470999999705	9	2021-02-25 14:32:14.999490
