index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
135	Computer	S200306	0.833333333	1	2	2	1	0.5	1500.000003	1433.333336	2066.666671	2350.000005	Major	Wrong_doings	40	You have offered a listening ear to a friend	C1_22	0.0	Easy	I1_14	45	The first Grammy awards was held in 1959	0.611111111	No	LEFT	709.1536	LEFT	440.5497	LEFT	2058.9058	RIGHT	1390.9543	10.0	0.5	Probable_Lie	RIGHT	LEFT	2	954.9920798	0	11:09.5
88	Self	S200306	0.833333333	2	1	1	2	0.6	1433.333336	1433.333336	1783.333337	1933.333337	Minor	Wrong_doings	53	You have claimed doing things that you never did	C2_38	1.0	Hard	I1_13	52	February has 30 days	0.888888889	No	RIGHT	454.7769	RIGHT	746.1111	LEFT	1182.6741	LEFT	2250.9983	10.6	0.6	Probable_Truth	LEFT	LEFT	1	621.9218	1	11:33.9
120	Computer	S200306	0.666666667	2	1	1	2	0.2	1350.000003	1066.666669	2216.666671	2350.000005	Minor	Wrong_doings	5	You have pretended to be busy to avoid a social situation	C2_8	0.0	Easy	I2_56	47	Teddy Roosevelt was the youngest US President	0.666666667	Yes	RIGHT	567.9263	LEFT	717.2225	RIGHT	2063.2346	LEFT	1658.116	10.6	0.2	Probable_Truth	RIGHT	LEFT	2	927.6430864	2	11:59.4
134	Computer	S200306	0.833333333	1	2	2	1	0.6	1433.333336	1000.000002	1933.333337	2500.000005	Major	Good_deeds	38	You have extorted money from anyone	C1_48	0.0	Hard	I2_50	54	Fibers in oranges can be used to make fabric	0.777777778	No	RIGHT	732.4313	LEFT	343.6218	RIGHT	2123.898	LEFT	1848.0787	10.6	0.6	Probable_Truth	RIGHT	LEFT	1	695.4643963	3	12:24.6
83	Self	S200306	0.833333333	1	2	1	2	0.2	1433.333336	1150.000002	2066.666671	2066.666671	Minor	Good_deeds	27	You have watched an M18 movie when you were underage	C2_33	0.05	Easy	I2_4	59	Septicemia is a lung infection condition	0.0	No	RIGHT	614.9214	RIGHT	376.4569	RIGHT	2023.6497	LEFT	1637.1264	10.8	0.2	Probable_Truth	RIGHT	RIGHT	4	570.3046	4	12:49.1
37	Self	S200306	0.833333333	1	2	2	1	0.8	1216.666669	1500.000003	2350.000005	2066.666671	Major	Wrong_doings	13	You have stolen something	C1_38	1.0	Hard	I2_13	9	Polish is 20th most spoken language in the World	0.0	Yes	RIGHT	657.6358	RIGHT	367.8471	RIGHT	1430.8008	LEFT	856.6052	11.6	0.8	Probable_Truth	LEFT	LEFT	1	544.4428	5	13:12.7
119	Computer	S200306	0.666666667	1	2	2	1	0.3	1066.666669	1433.333336	2216.666671	1650.000003	Major	Wrong_doings	14	You have said sorry when you were rude	C1_46	0.0	Easy	I1_33	12	Mexico's National Day is September 16	0.944444444	Yes	RIGHT	636.7933	LEFT	535.745	RIGHT	1959.7919	RIGHT	1558.5103	11.6	0.3	Probable_Lie	LEFT	LEFT	3	939.0102381	6	13:37.3
42	Self	S200306	0.833333333	2	1	1	2	0.2	1066.666669	1350.000003	1500.000003	1500.000003	Major	Good_deeds	11	You have cheated on a test	C1_8	0.0	Easy	I2_35	19	It is night time now	0.111111111	Yes	RIGHT	888.1699	RIGHT	666.8434	LEFT	1383.9921	LEFT	940.8115	11.8	0.2	Probable_Truth	LEFT	LEFT	1	571.3587	7	13:59.7
0	Self	S200306	0.5	1	2	1	2	0.3	1433.333336	1433.333336	2500.000005	1783.333337	Major	Good_deeds	52	You have given up your seat in the MRT	C2_16	0.7	Easy	I1_8	15	There are 30 hours in a day	0.0	Yes	RIGHT	658.9764	RIGHT	440.4495	LEFT	879.9795	RIGHT	1210.7044	12.1	0.3	Probable_Truth	RIGHT	RIGHT	4	848.0025	8	14:23.5
26	Self	S200306	0.666666667	2	1	1	2	0.6	1216.666669	1000.000002	1933.333337	2350.000005	Minor	Good_deeds	8	You have been sued	C1_30	1.0	Hard	I1_4	25	Singapore is a poor country	0.666666667	Yes	LEFT	567.9374	RIGHT	789.2019	LEFT	1080.6761	LEFT	835.4222	11.5	0.6	Probable_Lie	RIGHT	RIGHT	1	706.0923	9	14:46.5
89	Self	S200306	0.833333333	2	1	1	2	0.7	1150.000002	1150.000002	1500.000003	2500.000005	Major	Good_deeds	38	You have engaged in underage smoking	C2_17	0.95	Easy	I2_12	17	Nomophobia is the fear of being without a phone or computer	0.833333333	No	LEFT	495.9969	RIGHT	813.9061	RIGHT	2127.2012	LEFT	957.6264	10.8	0.7	Probable_Lie	RIGHT	RIGHT	1	606.8356	10	15:10.4
59	Self	S200306	0.5	2	1	1	2	0.1	1150.000002	1066.666669	2500.000005	2216.666671	Major	Good_deeds	31	You have taken part in violent demonstration	C2_6	0.85	Easy	I1_6	37	Singapore has four seasons	0.0	No	LEFT	679.6849	RIGHT	947.7527	LEFT	943.4607	LEFT	1432.7272	10.7	0.1	Probable_Lie	LEFT	LEFT	5	725.0993	11	15:34.6
23	Self	S200306	0.666666667	1	2	2	1	0.8	1066.666669	1066.666669	1933.333337	2066.666671	Major	Wrong_doings	14	You have said sorry when you were rude	C1_46	0.0	Easy	I1_33	12	Mexico's National Day is September 16	0.944444444	Yes	LEFT	1013.9093	RIGHT	336.3771	RIGHT	1311.9329	RIGHT	990.6546	9.9	0.8	Probable_Lie	RIGHT	RIGHT	2	666.8909	12	15:57.7
30	Self	S200306	0.666666667	2	1	2	1	0.8	1500.000003	1216.666669	1783.333337	1500.000003	Major	Good_deeds	30	You have taken responsibility for your actions	C2_58	0.0	Hard	I1_17	52	Earth's atmosphere extends up to 10,000km into space	0.055555556	Yes	LEFT	303.7861	RIGHT	962.4213	RIGHT	2383.7837	RIGHT	2511.8683	9.1	0.8	Probable_Lie	LEFT	LEFT	5	625.9812	13	16:23.0
141	Computer	S200306	0.833333333	2	1	2	1	0.4	1283.333336	1283.333336	1933.333337	1783.333337	Minor	Wrong_doings	23	You have helped a friend in need	C1_44	0.0	Easy	I2_11	1	Cheese is an Asian staple	0.0	Yes	LEFT	472.9801	LEFT	831.9209	LEFT	1530.2785	RIGHT	872.2413	9.1	0.4	Probable_Truth	RIGHT	RIGHT	2	817.2393462	14	16:46.4
70	Self	S200306	0.666666667	1	2	2	1	0.5	1066.666669	1500.000003	1500.000003	2500.000005	Minor	Wrong_doings	56	You have helped with household chores	C1_33	0.85	Easy	I1_46	46	There are 10 continents in the World	0.722222222	No	LEFT	691.8157	LEFT	320.4191	LEFT	868.7884	RIGHT	2206.7234	9.1	0.5	Probable_Lie	RIGHT	RIGHT	1	615.6084	15	17:10.2
12	Self	S200306	0.5	2	1	2	1	0.4	1150.000002	1000.000002	1783.333337	2350.000005	Minor	Good_deeds	34	You have violated a traffic law	C2_27	0.0	Hard	I1_23	23	The Earth turns the closest to the sun in May	0.0	No	LEFT	303.5623	RIGHT	730.4317	RIGHT	3402.5466	LEFT	1071.5189	8.7	0.4	Probable_Lie	RIGHT	RIGHT	1	1450.3693	16	17:36.1
100	Computer	S200306	0.5	1	2	2	1	0.8	1500.000003	1433.333336	1500.000003	2066.666671	Minor	Wrong_doings	1	You have been physically hurt to protect others	C1_35	0.45	Easy	I2_40	40	A triangle has three sides	0.0	No	RIGHT	1066.8713	LEFT	326.5242	RIGHT	1110.0277	LEFT	1054.989	8.7	0.8	Probable_Truth	RIGHT	LEFT	3	623.5601199	17	17:59.3
108	Computer	S200306	0.5	2	1	2	1	0.4	1283.333336	1066.666669	1933.333337	1783.333337	Minor	Good_deeds	34	You have violated a traffic law	C2_27	0.0	Hard	I1_23	23	The Earth turns the closest to the sun in May	0.0	No	RIGHT	272.4336	LEFT	785.2124	RIGHT	1108.9652	LEFT	742.8758	8.7	0.4	Probable_Truth	RIGHT	LEFT	2	554.1324289	18	18:21.4
14	Self	S200306	0.5	2	1	2	1	0.7	1216.666669	1066.666669	1650.000003	1500.000003	Minor	Wrong_doings	27	You have intentionally let others cut in line	C1_43	0.05	Hard	I2_27	51	North Korea is more developed than South Korea	0.777777778	No	LEFT	376.0916	RIGHT	887.0652	LEFT	1281.3437	LEFT	2535.9971	8.0	0.7	Probable_Lie	RIGHT	RIGHT	3	884.4806	19	18:45.4
20	Self	S200306	0.666666667	1	2	2	1	0.7	1350.000003	1216.666669	2066.666671	1500.000003	Minor	Wrong_doings	25	You have organized a violent protest	C2_25	0.9	Easy	I2_8	33	Slavery was abolished in Cuba in 1886	0.0	No	LEFT	758.9819	RIGHT	296.9774	LEFT	2677.0622	LEFT	1173.2004	7.3	0.7	Probable_Lie	RIGHT	RIGHT	1	760.592	20	19:09.8
